Year,Extent
1979,11.719137362637362
1980,11.236289617486344
1981,11.416808743169401
1982,11.658065934065931
1983,11.369912568306008
1984,11.449677595628412
1985,11.63382967032967
1986,11.071322404371582
1987,12.90159545454546
1988,11.685189265536728
1989,11.425679452054794
1990,11.409594520547946
1991,11.544873972602732
1992,11.398617486338809
1993,11.419939726027398
1994,11.773969863013708
1995,11.794756164383557
1996,11.769128415300552
1997,11.390052054794522
1998,11.73837260273972
1999,11.760682191780825
2000,11.747226775956285
2001,11.672624657534241
2002,11.221608219178083
2003,11.969287671232879
2004,11.961497267759562
2005,11.694879452054797
2006,11.460912328767119
2007,11.687106849315061
2008,12.239407103825139
2009,12.048591780821917
2010,12.106791780821924
2011,11.500572602739734
2012,12.004437158469953
2013,12.523605479452057
2014,12.776126027397257
2015,12.414101369863019
2016,11.155510928961752
